Iter: 000070 | Node: EQ000011 | Priority: 0.711938 | AFIR: ['300', '9', '12']
Iter: 000071 | Node: EQ000002 | Priority: 0.630177 | AFIR: ['300', '6', '9']
Iter: 000072 | Node: EQ000002 | Priority: 0.630177 | AFIR: ['300', '5', '10']
Iter: 000073 | Node: EQ000002 | Priority: 0.630177 | AFIR: ['300', '3', '4']
Iter: 000074 | Node: EQ000002 | Priority: 0.630177 | AFIR: ['300', '2', '7']
Iter: 000075 | Node: EQ000002 | Priority: 0.630177 | AFIR: ['300', '2', '13']
Iter: 000076 | Node: EQ000023 | Priority: 0.591917 | AFIR: ['300', '5', '14']
Iter: 000077 | Node: EQ000023 | Priority: 0.591917 | AFIR: ['300', '5', '10']
Iter: 000078 | Node: EQ000023 | Priority: 0.591917 | AFIR: ['300', '3', '6']
Iter: 000079 | Node: EQ000023 | Priority: 0.591917 | AFIR: ['300', '6', '11']
Iter: 000080 | Node: EQ000023 | Priority: 0.591917 | AFIR: ['300', '8', '12']
Iter: 000081 | Node: EQ000019 | Priority: 0.587259 | AFIR: ['300', '6', '7']
Iter: 000082 | Node: EQ000019 | Priority: 0.587259 | AFIR: ['300', '8', '12']
Iter: 000083 | Node: EQ000019 | Priority: 0.587259 | AFIR: ['300', '5', '8']
Iter: 000084 | Node: EQ000019 | Priority: 0.587259 | AFIR: ['300', '4', '12']
Iter: 000085 | Node: EQ000019 | Priority: 0.587259 | AFIR: ['300', '1', '13']
Iter: 000086 | Node: EQ000007 | Priority: 0.339922 | AFIR: ['300', '4', '9']
Iter: 000087 | Node: EQ000007 | Priority: 0.339922 | AFIR: ['300', '3', '6']
Iter: 000088 | Node: EQ000007 | Priority: 0.339922 | AFIR: ['300', '6', '10']
Iter: 000089 | Node: EQ000007 | Priority: 0.339922 | AFIR: ['300', '2', '11']
Iter: 000090 | Node: EQ000007 | Priority: 0.339922 | AFIR: ['300', '3', '11']
Iter: 000091 | Node: EQ000024 | Priority: 0.999121 | AFIR: ['300', '6', '8']
