Iter: 000061 | Node: EQ000016 | Priority: 0.337214 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000063 | Node: EQ000016 | Priority: 0.337214 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000064 | Node: EQ000016 | Priority: 0.337214 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000065 | Node: EQ000016 | Priority: 0.337214 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000057 | Node: EQ000016 | Priority: 0.337214 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000066 | Node: EQ000016 | Priority: 0.337214 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000062 | Node: EQ000016 | Priority: 0.337214 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000067 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000070 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000069 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000072 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000068 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000073 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000071 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000076 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000074 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000075 | Node: EQ000010 | Priority: 0.031071 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000079 | Node: EQ000003 | Priority: 0.005327 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000077 | Node: EQ000003 | Priority: 0.005327 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000081 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000078 | Node: EQ000003 | Priority: 0.005327 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000082 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000084 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000080 | Node: EQ000003 | Priority: 0.005327 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000085 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '4', '12'] | Status: DONE
Iter: 000087 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '5', '12'] | Status: DONE
Iter: 000083 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000089 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000086 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000091 | Node: EQ000003 | Priority: 0.005239 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000088 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '5', '10'] | Status: DONE
Iter: 000092 | Node: EQ000003 | Priority: 0.005239 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000093 | Node: EQ000013 | Priority: 0.029605 | AFIR: ['250', '1', '7'] | Status: DONE
Iter: 000095 | Node: EQ000013 | Priority: 0.029605 | AFIR: ['250', '4', '10'] | Status: DONE
Iter: 000090 | Node: EQ000018 | Priority: 0.016560 | AFIR: ['250', '7', '10'] | Status: DONE
Iter: 000097 | Node: EQ000013 | Priority: 0.029455 | AFIR: ['250', '4', '7'] | Status: DONE
Iter: 000098 | Node: EQ000013 | Priority: 0.029455 | AFIR: ['250', '1', '12'] | Status: DONE
Iter: 000094 | Node: EQ000013 | Priority: 0.029605 | AFIR: ['250', '7', '12'] | Status: DONE
Iter: 000100 | Node: EQ000013 | Priority: 0.029455 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000096 | Node: EQ000013 | Priority: 0.029605 | AFIR: ['250', '5', '12'] | Status: DONE
