Iter: 000060 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000056 | Node: EQ000009 | Priority: 0.204190 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000063 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000064 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000065 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000066 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000067 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000068 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000069 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000070 | Node: EQ000017 | Priority: 0.112316 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000071 | Node: EQ000017 | Priority: 0.112316 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000073 | Node: EQ000017 | Priority: 0.112316 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000072 | Node: EQ000017 | Priority: 0.112316 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000075 | Node: EQ000017 | Priority: 0.112316 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000076 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000077 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000074 | Node: EQ000017 | Priority: 0.112316 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000078 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000080 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000081 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000082 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000062 | Node: EQ000009 | Priority: 0.204176 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000083 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000085 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000084 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000079 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000087 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000089 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000088 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000091 | Node: EQ000017 | Priority: 0.078369 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000092 | Node: EQ000017 | Priority: 0.078369 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000093 | Node: EQ000017 | Priority: 0.078369 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000086 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000095 | Node: EQ000017 | Priority: 0.078358 | AFIR: ['250', '4', '14'] | Status: DONE
Iter: 000090 | Node: EQ000021 | Priority: 0.302243 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000097 | Node: EQ000017 | Priority: 0.078358 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000094 | Node: EQ000017 | Priority: 0.078369 | AFIR: ['250', '1', '14'] | Status: DONE
Iter: 000099 | Node: EQ000014 | Priority: 0.028092 | AFIR: ['250', '4', '9'] | Status: DONE
Iter: 000100 | Node: EQ000014 | Priority: 0.028092 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000096 | Node: EQ000017 | Priority: 0.078358 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000102 | Node: EQ000014 | Priority: 0.028089 | AFIR: ['250', '6', '9'] | Status: DONE
Iter: 000098 | Node: EQ000017 | Priority: 0.078358 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000101 | Node: EQ000014 | Priority: 0.028092 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000103 | Node: EQ000014 | Priority: 0.028089 | AFIR: ['250', '5', '11'] | Status: DONE
Iter: 000106 | Node: EQ000014 | Priority: 0.028088 | AFIR: ['250', '1', '5'] | Status: DONE
Iter: 000107 | Node: EQ000014 | Priority: 0.028088 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000105 | Node: EQ000014 | Priority: 0.028088 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000108 | Node: EQ000014 | Priority: 0.028088 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000110 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '1', '11'] | Status: DONE
Iter: 000109 | Node: EQ000014 | Priority: 0.028088 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000104 | Node: EQ000014 | Priority: 0.028088 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000113 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '6', '14'] | Status: DONE
Iter: 000111 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '5', '9'] | Status: DONE
Iter: 000115 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '4', '6'] | Status: DONE
Iter: 000112 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '4', '11'] | Status: DONE
Iter: 000117 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '11', '14'] | Status: DONE
Iter: 000116 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '9', '14'] | Status: DONE
Iter: 000118 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '1', '6'] | Status: DONE
Iter: 000114 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '6', '11'] | Status: DONE
Iter: 000121 | Node: EQ000012 | Priority: 0.028088 | AFIR: ['250', '4', '9'] | Status: DONE
