Iter: 000038 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['-100', '4', '8']
Iter: 000039 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['100', '10', '19']
Iter: 000040 | Node: EQ000001 | Priority: 1.000000 | AFIR: ['-100', '10', '19']
Iter: 000041 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '10', '17']
Iter: 000042 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '10', '17']
Iter: 000043 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '4', '13']
Iter: 000044 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '4', '13']
Iter: 000045 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '14', '18']
Iter: 000046 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '14', '18']
Iter: 000047 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '14', '17']
Iter: 000048 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '14', '17']
Iter: 000049 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '10', '18']
Iter: 000050 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '10', '18']
Iter: 000051 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '1', '5']
Iter: 000052 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '1', '5']
Iter: 000053 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '2', '13']
Iter: 000054 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '2', '13']
Iter: 000055 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '4', '15']
Iter: 000056 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '4', '15']
Iter: 000057 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '9', '18']
Iter: 000058 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '9', '18']
Iter: 000059 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['100', '2', '15']
Iter: 000060 | Node: EQ000014 | Priority: 1.000000 | AFIR: ['-100', '2', '15']
Iter: 000061 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '11', '12']
Iter: 000062 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '11', '12']
Iter: 000063 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '18', '21']
Iter: 000064 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '18', '21']
Iter: 000065 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '7', '13']
Iter: 000066 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '7', '13']
Iter: 000067 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '5', '20']
Iter: 000068 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '5', '20']
Iter: 000069 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '9', '21']
Iter: 000070 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '9', '21']
Iter: 000071 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '10', '13']
Iter: 000072 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '10', '13']
Iter: 000073 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '1', '17']
Iter: 000074 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '1', '17']
Iter: 000075 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '2', '15']
Iter: 000076 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '2', '15']
Iter: 000077 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '5', '22']
Iter: 000078 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '5', '22']
Iter: 000079 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['100', '11', '18']
Iter: 000080 | Node: EQ000011 | Priority: 0.830688 | AFIR: ['-100', '11', '18']
Iter: 000081 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '1', '5']
Iter: 000082 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '1', '5']
Iter: 000083 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '18', '20']
Iter: 000084 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '18', '20']
Iter: 000085 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '15', '21']
Iter: 000086 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '15', '21']
Iter: 000087 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '7', '13']
Iter: 000088 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '7', '13']
Iter: 000089 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '6', '16']
Iter: 000090 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '6', '16']
Iter: 000091 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '10', '14']
Iter: 000092 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '10', '14']
Iter: 000093 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '15', '19']
Iter: 000094 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '15', '19']
Iter: 000095 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '16', '22']
Iter: 000096 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '16', '22']
Iter: 000097 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '15', '17']
Iter: 000098 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '15', '17']
Iter: 000099 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['100', '11', '14']
Iter: 000100 | Node: EQ000015 | Priority: 0.830688 | AFIR: ['-100', '11', '14']
Iter: 000101 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '19', '20']
Iter: 000102 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '19', '20']
Iter: 000103 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '3', '20']
Iter: 000104 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '3', '20']
Iter: 000105 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '12', '18']
Iter: 000106 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '12', '18']
Iter: 000107 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '6', '16']
Iter: 000108 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '6', '16']
Iter: 000109 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '8', '10']
Iter: 000110 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '8', '10']
Iter: 000111 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '6', '19']
Iter: 000112 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '6', '19']
Iter: 000113 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '2', '15']
Iter: 000114 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '2', '15']
Iter: 000115 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '12', '17']
Iter: 000116 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '12', '17']
Iter: 000117 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '3', '15']
Iter: 000118 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '3', '15']
Iter: 000119 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['100', '4', '20']
Iter: 000120 | Node: EQ000003 | Priority: 0.712477 | AFIR: ['-100', '4', '20']
Iter: 000121 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '1', '5']
Iter: 000122 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '1', '5']
Iter: 000123 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '12', '17']
Iter: 000124 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '12', '17']
Iter: 000125 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '18', '21']
Iter: 000126 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '18', '21']
Iter: 000127 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '13', '20']
Iter: 000128 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '13', '20']
Iter: 000129 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '6', '18']
Iter: 000130 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '6', '18']
Iter: 000131 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '10', '12']
Iter: 000132 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '10', '12']
Iter: 000133 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '4', '20']
Iter: 000134 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '4', '20']
Iter: 000135 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '6', '19']
Iter: 000136 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '6', '19']
Iter: 000137 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '13', '17']
Iter: 000138 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '13', '17']
Iter: 000139 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['100', '10', '13']
Iter: 000140 | Node: EQ000023 | Priority: 0.388017 | AFIR: ['-100', '10', '13']
Iter: 000141 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['100', '9', '15']
Iter: 000142 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['-100', '9', '15']
Iter: 000143 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['100', '6', '9']
Iter: 000144 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['-100', '6', '9']
Iter: 000145 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['100', '2', '8']
Iter: 000146 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['-100', '2', '8']
Iter: 000147 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['100', '15', '22']
Iter: 000148 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['-100', '15', '22']
Iter: 000149 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['100', '15', '18']
Iter: 000150 | Node: EQ000026 | Priority: 0.191249 | AFIR: ['-100', '15', '18']
